source_irn,source_sku,source_invoice_link
IRNNeMKzkK1xE6bsUxq,S80C486B7691E6XQCAB9,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNpfPojkv2lszShRis,SC4572V9A9Y5C84DG6DF,https://udaan.azureedge.net/document-receipt/mon59wv0msvytc6j1rar.jpg
IRNKkiBDq7oVWBrOaQi,SD067DL9F7ABCR193S3D,https://udaan.azureedge.net/document-receipt/11gwm3hpu3ghlkz8yux0.jpeg
IRNNeMKzkK1xE6bsUxq,SB8B3D6E3E4B2H9B55A5,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNwFSo18S2QoqVI3ZT,S0CB5C5C5F06B236404W,https://udaan.azureedge.net/document-receipt/f87h0f7wlfwzckuf2e94.jpg
IRNNeMKzkK1xE6bsUxq,SFXB8EF0ZF3KBVXCHF09,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRNP769gT9QaAF3BLNP,S8226G931C99GX0F3A51,https://udaan.azureedge.net/document-receipt/z72ixods8u8ch4uls0a7.jpg
IRNakblwe7WBIDpZxbJ,SL79C7324436B1486311,https://udaan.azureedge.net/document-receipt/r0rbq4p447d5ft17s0zw.jpg
IRNxgsjWu5AinN0owuT,S05TNH60BYB30BB56620,https://udaan.azureedge.net/document-receipt/6wl0gnwjnuaxvzdchajp.jpg
IRNLHZkbb7PcJ1rR7v5,S6F801D961A88DN54849,https://udaan.azureedge.net/document-receipt/hfrcn438jz4nivlvw3vx.jpg
IRN9DP71iyaMESuK8L8,SD5406D5796C5889F91B,https://udaan.azureedge.net/document-receipt/oirvx6zetv66msya4c9u.jpg
IRNU0C9FygdMtJeQcAD,SC519F8DN12921X667DV,https://udaan.azureedge.net/document-receipt/b554k6gpfj7s00r7123l.jpeg
IRNtZTIP4eUZNMjQNFR,S9934E9KDQ53G8Q3FG4P,https://udaan.azureedge.net/document-receipt/hl1ol53v88c7syznrjvq.jpg
IRNlKMf8Yc5tbRlPooG,S4Y9B700QC826D4F6A26,https://udaan.azureedge.net/document-receipt/eq81azoe3gogy50fe0af.jpeg
IRNSBywSsmHBpnpPR3V,SBB1DZ260F9A5B6W5FVQ,https://udaan.azureedge.net/document-receipt/ct28snaep5rvh9kiz5jf.jpg
IRNpfPojkv2lszShRis,SEG5D270C42D3V2E3288,https://udaan.azureedge.net/document-receipt/mon59wv0msvytc6j1rar.jpg
IRNCRmHIiPGM4q2J6A9,SBD9FD2ACYD88942F90B,https://udaan.azureedge.net/document-receipt/igtjt46tlowzb484zqtm.jpg
IRNVXKgnHzjnnwBvCSb,SD816E906E82EE9E80PC,https://udaan.azureedge.net/document-receipt/v5a04be2jaboxty6yntn.jpg
IRNVXKgnHzjnnwBvCSb,S67C50AXX0DC100B5YD4,https://udaan.azureedge.net/document-receipt/v5a04be2jaboxty6yntn.jpg
IRNuhxgnhSzUqeKFsKg,SB7EA08C54EDA05AAA59,https://udaan.azureedge.net/document-receipt/erfx9ootmdxh9sfjws29.jpg
IRNxc2nTIIOTSi4fFbq,SL61C277DA7A0E73140C,https://udaan.azureedge.net/document-receipt/qoy5k07qg9m37h5oxcxg.jpg
IRNcR5eBmrFKZvPsjlj,S0A59508A983C5B05A56,https://udaan.azureedge.net/document-receipt/n6hy2qp44311xu9angxp.jpeg
IRNbRV9OapQJO2uTPgM,SZ21BL98D3CB7AN592D0,https://udaan.azureedge.net/document-receipt/2fx8ojkoka3293pfec03.jpg
IRN6Dzs42hTiY6omXlT,SBD9FD2ACYD88942F90B,https://udaan.azureedge.net/document-receipt/gjba3fskidtpgqh96uh0.jpg
IRN2SB9gSWxvSz0z8tc,SW02141D04B3BEB76E31,https://udaan.azureedge.net/document-receipt/gr6cprj6n9wjug65zcju.jpeg
IRNwMUlyE5HOl2EcXsM,SFA70047B9367C7FQ1FB,https://udaan.azureedge.net/document-receipt/vyc62uge94txhtbyodv8.jpg
IRNuhxgnhSzUqeKFsKg,SF0N09DN750V998Z18H4,https://udaan.azureedge.net/document-receipt/erfx9ootmdxh9sfjws29.jpg
IRN2rAnKiarEsCytwkT,SA1DN969B876DE9524D9,https://udaan.azureedge.net/document-receipt/ncp3nb3ntukierb9qyuj.jpeg
IRN1UTUwmDLmwoGx6Ku,S0F44309552F3EF6C9A2,https://udaan.azureedge.net/document-receipt/iskyew3nwvjry3nr1q8q.jpg
IRNan6n07y0jxzHU8Ke,SQ1GCD1D2C9DD0BGBQE5,https://udaan.azureedge.net/document-receipt/9moergwu8s4w05byq5cw.jpeg
IRNOkFi2NlSVYy0ABtl,S1BZAEEDB29BP0ZFZV4E,https://udaan.azureedge.net/document-receipt/g92qwbel0rt72e4p8avu.jpg
IRNwFSo18S2QoqVI3ZT,S194A0515055101EA786,https://udaan.azureedge.net/document-receipt/f87h0f7wlfwzckuf2e94.jpg
IRNuhxgnhSzUqeKFsKg,S6E9DBCE1D6WD03059E8,https://udaan.azureedge.net/document-receipt/erfx9ootmdxh9sfjws29.jpg
IRNLHZkbb7PcJ1rR7v5,S6113860778FYA67HA49,https://udaan.azureedge.net/document-receipt/hfrcn438jz4nivlvw3vx.jpg
IRNOkFi2NlSVYy0ABtl,S5D26C8TVX5531BX9B24,https://udaan.azureedge.net/document-receipt/g92qwbel0rt72e4p8avu.jpg
IRNy5agHTG4z5R7uS7O,S98B05BX0755PF88965B,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
IRN2rAnKiarEsCytwkT,SH055B2LAV388C60EDCL,https://udaan.azureedge.net/document-receipt/ncp3nb3ntukierb9qyuj.jpeg
IRNO4caCyXaKXVjm6ls,S18499585V2E09915HK2,https://udaan.azureedge.net/document-receipt/i1y6j6k41gowpcirpt3r.jpg
IRNuKpLvzBjGHVXrzVI,SCS1AZBAEA2A28DB285B,https://udaan.azureedge.net/document-receipt/fzbl2yid4igg6bcax07r.jpg
IRNVhdwBitda2VspxUu,S0A59508A983C5B05A56,https://udaan.azureedge.net/document-receipt/6vgcekljxsmplexv99bn.jpg
IRNcqPWflqvVa32e4TD,S4C45F9525B0BHVDD2PE,https://udaan.azureedge.net/document-receipt/f8xebc30rk74tmy9hu7d.jpg
IRNyjxI32ojHTbmeOpg,SB2B790CB485NEC10SBQ,https://udaan.azureedge.net/document-receipt/0c4ljilp4xyto3s0hg1s.jpeg
IRNlKMf8Yc5tbRlPooG,S49F9EZ82ZABVVC6E5F6,https://udaan.azureedge.net/document-receipt/eq81azoe3gogy50fe0af.jpeg
IRN1UTUwmDLmwoGx6Ku,S430D4XPC82D4Z30E84B,https://udaan.azureedge.net/document-receipt/iskyew3nwvjry3nr1q8q.jpg
IRNy5agHTG4z5R7uS7O,S89B0EP0D44K6EBACB0V,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
IRNKz3muiaRpO3X4inK,S896DD3719S36AAD3A16,https://udaan.azureedge.net/document-receipt/u6bihh2fjx4vzrekpmoc.jpeg
IRN2SB9gSWxvSz0z8tc,SB5FFAPFFEAJ7DFPC212,https://udaan.azureedge.net/document-receipt/gr6cprj6n9wjug65zcju.jpeg
IRNbRV9OapQJO2uTPgM,SEB958NDEBES175132B0,https://udaan.azureedge.net/document-receipt/2fx8ojkoka3293pfec03.jpg
IRNNeMKzkK1xE6bsUxq,S98F5ZF208WFF29X9C87,https://udaan.azureedge.net/document-receipt/kznu1ayq72zebwtlfqsr.jpg
IRN4IBe05U50S5VuAQM,S0A59508A983C5B05A56,https://udaan.azureedge.net/document-receipt/0qt0238lh83e9ot61ztm.jpg
IRNmBStuVg0elSER2y0,S0A59508A983C5B05A56,https://udaan.azureedge.net/document-receipt/feotjcc9e207ci6oa2w7.jpg
IRNTvWWQOZP6YLc7iix,SN359666D4L2DS0DB966,https://udaan.azureedge.net/document-receipt/hfq34yi46mu1iwo0061t.jpg
IRN9DP71iyaMESuK8L8,S9E1FZD69F402FBAEE38,https://udaan.azureedge.net/document-receipt/oirvx6zetv66msya4c9u.jpg
IRNzCgPM323x1v6YACm,SD34A9C287879PBV2D18,https://udaan.azureedge.net/document-receipt/mutg51n7kpk31cbhtnu7.jpg
IRN1RjtxMyudP9pXj6Y,SEC4N8CANF83NC07A44L,https://udaan.azureedge.net/document-receipt/ln4q4hsp1i0z0r2uqmce.jpg
IRNgYNprNHaNb54LUvt,S85B969K6P954F492BDD,https://udaan.azureedge.net/document-receipt/7wi9a4avi3rcthjby50x.jpg
IRNEVyG03sM4RkzaxqZ,SF4E523098E7CF1T8894,https://udaan.azureedge.net/document-receipt/otr38slizarkoai8d5jc.jpg
IRN6Dzs42hTiY6omXlT,S2D462H88CF47994649F,https://udaan.azureedge.net/document-receipt/gjba3fskidtpgqh96uh0.jpg
IRNLHZkbb7PcJ1rR7v5,SM0FBLF8S8932937174M,https://udaan.azureedge.net/document-receipt/hfrcn438jz4nivlvw3vx.jpg
IRNy5agHTG4z5R7uS7O,S0666DD00096FE520522,https://udaan.azureedge.net/document-receipt/4q6fonurizlxw7dphjv9.jpg
IRNOkFi2NlSVYy0ABtl,S5F1F4YAAF55Y043Y206,https://udaan.azureedge.net/document-receipt/g92qwbel0rt72e4p8avu.jpg
